column,dtype,non_null,null,null_pct,unique,example_values
_id,int64,2081,0,0.0,2081,1 | 2 | 3 | 4 | 5
licence_number,str,2081,0,0.0,2081,P455317138 | P455343026 | P455355217 | P455363392 | P455363904
permit_type,str,2081,0,0.0,14,AMPLIFIED SOUND | CONTINUOUS POUR AND/OR LARGE CRANE | CONSTRUCTION | OTHER SOUND | CONTINUOUS POUR
operating_name,str,2066,15,0.72,1714,LEAFS AND RAPTORS PLAYOFFS- VIEWING PARTY | 227 GERRARD ST E | SCRIVENER SQUARE NOMINEE INC. (THE JAMES) | SCRIVENER SQUARE NOMINEE INC (THE JAMES) | ESPLANADE TRANSFORMER STATION
client_name,str,1919,162,7.78,931,MAPLE LEAF SPORTS & ENTERTAINMENT LTD | CABEDGE DEVELOPMENTS INC | SCRIVENER SQUARE NOMINEE INC | MCNALLY CONSTRUCTION INC | MATTAMY (BLOOR) LTD
address,str,2081,0,0.0,956," BREMNER BLVD, TORONTO, ON H0H 0H0 | 227 GERRARD ST E, TORONTO, ON M5A 2E9 |  5 SCRIVENER SQ, TORONTO, ON M5S 2B7 | 5 SCRIVENER SQ, TORONTO, ON M5S 2B7 | 106 LOWER SHERBOURNE ST, TORONTO, ON M5A 2P4"
location_name,str,688,1393,66.94,211,WOODBINE BEACH PARK | COLLEGE PARK | SUNNYSIDE PARK | ALLAN GARDENS | OAKDALE PARK
ward,float64,1914,167,8.02,25,13.0 | 11.0 | 10.0 | 4.0 | 1.0
issue_date,str,2081,0,0.0,515,2024-04-24 | 2024-01-01 | 2024-01-10 | 2024-02-01 | 2023-12-20
expected_end_date,str,2081,0,0.0,502,2023-06-21 | 2024-07-01 | 2024-05-01 | 2024-06-10 | 2024-08-01
actual_end_date,str,1942,139,6.68,423,2023-06-22 | 2024-07-02 | 2024-05-02 | 2024-06-11 | 2024-08-02
public_conditions,str,139,1942,93.32,47,"Additional Location InformationToronto Island Park - Hanlan's Point under Condition.s and site address to include, LAKESHORE AVE #464. | - Sound level emitted from any equipment shall not exceed a sound level of 85 dB(A) or 105 dB(C) when measured 20m from the source.- Where sound exceeds the levels specified above, the applicant shall comply with any request made by a Police Officer or Bylaw Enforcement Officer to ensure compliance - No equipment other than equipment approved under the exemption permit shall be used by the applicant.-6am to 7am general construction and delivery activities only including crane use to hoist materials, rebar and wall forms.  | - Sound level emitted from any equipment shall not exceed a sound level of 85 dB(A) or 105 dB(C) when measured from the lot line of the property.- Where sound exceeds the levels specified above, the applicant shall comply with any request made by a Police Officer or Bylaw Enforcement Officer to ensure compliance - No equipment other than equipment approved under the exemption permit shall be used by the applicant.- Permit holder must comply with the submitted noise mitigation plan- Speakers positioned facing away from residential areas. | - Sound level emitted from any equipment shall not exceed a sound level of 85 dB(A) or 105 dB(C) when measured from the lot line of the property.- Where sound exceeds the levels specified above, the applicant shall comply with any request made by a Police Officer or Bylaw Enforcement Officer to ensure compliance - No equipment other than equipment approved under the exemption permit shall be used by the applicant.-Noise Mitigation Plan: your event/activity must comply with the submitted noise mitigation plan | - Sound level emitted from any equipment shall not exceed a sound level of 85 dB(A) or 105 dB(C) when measured from the lot line of the property.- Where sound exceeds the levels specified above, the applicant shall comply with any request made by a Police Officer or Bylaw Enforcement Officer to ensure compliance - No equipment other than equipment approved under the exemption permit shall be used by the applicant.* This exemption permit is ONLY valid in conjunction with the approved dates and times on a valid Parks Permit."
hours_of_operation,str,983,1098,52.76,980,"HOURS OF OPERATION:June 27, July 12, July 13, 2024Set up: 7PM - 8PM           Event: 8PM - 10:30PM                           Tear down: 10:30PM - 10:45PM | HOURS OF OPERATION:Setup: 03/08/2024, 8:00AM - 12:00PMEvent: 03/08/2024, 1:00PM - 9:00PMTeardown: 03/08/2024, 9:00PM - 11:00PM | HOURS OF OPERATION:SET UP: AUGUST 29 2024 4PM-6PM    EVENT: AUGUST 29 2024 6PM-10PMTEAR DOWN:AUGUST 29 2024 10PM-10:30PM | HOURS OF OPERATION:Aug 1 2024 to Aug 31 20246am to 11pm | HOURS OF OPERATION:PARTY DETAILS:SET UP: 01/08/2024 - FROM 6PM TO 9PMEVENT: 03/08/2024 - 7PM TO 12AM AND 05/08/2024 - 5PM TO 12AMTEAR DOWN: 06/08/2024 - FROM 12PM TP 2PM"
issue_date__parsed,datetime64[us],2081,0,0.0,515,2024-04-24 00:00:00 | 2024-01-01 00:00:00 | 2024-01-10 00:00:00 | 2024-02-01 00:00:00 | 2023-12-20 00:00:00
expected_end_date__parsed,datetime64[us],2081,0,0.0,502,2023-06-21 00:00:00 | 2024-07-01 00:00:00 | 2024-05-01 00:00:00 | 2024-06-10 00:00:00 | 2024-08-01 00:00:00
actual_end_date__parsed,datetime64[us],1942,139,6.68,423,2023-06-22 00:00:00 | 2024-07-02 00:00:00 | 2024-05-02 00:00:00 | 2024-06-11 00:00:00 | 2024-08-02 00:00:00
has_address,bool,2081,0,0.0,1,True
permit_window_days,int64,2081,0,0.0,207,-308 | 182 | 121 | 152 | 588
