licence_number,permit_type,operating_name,client_name,address,ward,issue_date,expected_end_date,actual_end_date,hours_of_operation,public_conditions
P455317138,AMPLIFIED SOUND,LEAFS AND RAPTORS PLAYOFFS- VIEWING PARTY,MAPLE LEAF SPORTS & ENTERTAINMENT LTD," BREMNER BLVD, TORONTO, ON H0H 0H0",,2024-04-24,2023-06-21,2023-06-22,,
P455343026,CONTINUOUS POUR AND/OR LARGE CRANE,227 GERRARD ST E,CABEDGE DEVELOPMENTS INC,"227 GERRARD ST E, TORONTO, ON M5A 2E9",13.0,2024-01-01,2024-07-01,2024-07-02,,
P455355217,CONTINUOUS POUR AND/OR LARGE CRANE,SCRIVENER SQUARE NOMINEE INC. (THE JAMES),SCRIVENER SQUARE NOMINEE INC," 5 SCRIVENER SQ, TORONTO, ON M5S 2B7",11.0,2024-01-01,2024-07-01,2024-07-02,,
P455363392,CONSTRUCTION,SCRIVENER SQUARE NOMINEE INC (THE JAMES),SCRIVENER SQUARE NOMINEE INC,"5 SCRIVENER SQ, TORONTO, ON M5S 2B7",11.0,2024-01-01,2024-05-01,2024-05-02,,
P455363904,CONSTRUCTION,ESPLANADE TRANSFORMER STATION,MCNALLY CONSTRUCTION INC,"106 LOWER SHERBOURNE ST, TORONTO, ON M5A 2P4",10.0,2024-01-10,2024-06-10,2024-06-11,,
P455371409,CONTINUOUS POUR AND/OR LARGE CRANE,1660 BLOOR ST WEST,MATTAMY (BLOOR) LTD,"1660 BLOOR ST W, TORONTO, ON M6P 1A8",4.0,2024-02-01,2024-08-01,2024-08-02,,
P455373016,CONSTRUCTION,RICHGROVE PHASE III,MINTO COMMUNITIES INC,"610 MARTIN GROVE RD, TORONTO, ON M9R 0A4",1.0,2023-12-20,2025-07-30,,,
P455373022,AMPLIFIED SOUND,RECORD BREAKER COLD PLUNGE OF JACK.ORG,UNBOUNDED,"1675 LAKE SHORE BLVD E, TORONTO, ON M4L 3W6",19.0,2024-01-01,2024-01-02,2024-01-03,,
P455373196,CONSTRUCTION,ONE DELISLE,MULTIPLEX CONSTRUCTION CANADA LTD,"1 DELISLE AVE, TORONTO, ON M4V 3C7",12.0,2024-01-05,2024-04-05,2024-04-06,,
P455373358,AMPLIFIED SOUND,NHL ALLSTAR LEAFS OUTDOOR PRACTICE,MAPLE LEAF SPORTS & ENTERTAINMENT LTD,"100 QUEEN ST W, MAIN, TORONTO, ON M5H 2N1",10.0,2024-01-28,2024-02-14,2024-02-15,,
P455373370,CONSTRUCTION,TOWER CRANE RASIE AT 1 BLOOR ST W,MIZRAHI DEVELOPMENTS,"1 BLOOR ST W, TORONTO, ON M4W 1A3",11.0,2024-01-12,2024-02-07,2024-02-08,,
