calendar,weekstarting,greenbin,garbage,recycling,yardwaste,christmastree,active_stream_count
Tuesday1,01/06/26,T,0,T,0,0,2
Tuesday1,01/13/26,T,T,0,0,T,3
Tuesday1,01/20/26,T,0,T,0,0,2
Tuesday1,01/27/26,T,T,0,0,T,3
Tuesday1,02/03/26,T,0,T,0,0,2
Tuesday1,02/10/26,T,T,0,0,0,2
Tuesday1,02/17/26,T,0,T,0,0,2
Tuesday1,02/24/26,T,T,0,0,0,2
Tuesday1,03/03/26,T,0,T,0,0,2
Tuesday1,03/10/26,T,T,0,T,0,3
Tuesday1,03/17/26,T,0,T,0,0,2
Tuesday1,03/24/26,T,T,0,T,0,3
Tuesday1,03/31/26,T,0,T,0,0,2
Tuesday1,04/07/26,T,T,0,T,0,3
Tuesday1,04/14/26,T,0,T,0,0,2
Tuesday1,04/21/26,T,T,0,T,0,3
Tuesday1,04/28/26,T,0,T,0,0,2
Tuesday1,05/05/26,T,T,0,T,0,3
Tuesday1,05/12/26,T,0,T,0,0,2
Tuesday1,05/19/26,T,T,0,T,0,3
Tuesday1,05/26/26,T,0,T,0,0,2
Tuesday1,06/02/26,T,T,0,T,0,3
Tuesday1,06/09/26,T,0,T,0,0,2
Tuesday1,06/16/26,T,T,0,T,0,3
Tuesday1,06/23/26,T,0,T,0,0,2
Tuesday1,06/30/26,T,T,0,T,0,3
Tuesday1,07/07/26,T,0,T,0,0,2
Tuesday1,07/14/26,T,T,0,T,0,3
Tuesday1,07/21/26,T,0,T,0,0,2
Tuesday1,07/28/26,T,T,0,T,0,3
Tuesday1,08/04/26,T,0,T,0,0,2
Tuesday1,08/11/26,T,T,0,T,0,3
Tuesday1,08/18/26,T,0,T,0,0,2
Tuesday1,08/25/26,T,T,0,T,0,3
Tuesday1,09/01/26,T,0,T,0,0,2
Tuesday1,09/08/26,T,T,0,T,0,3
Tuesday1,09/15/26,T,0,T,0,0,2
Tuesday1,09/22/26,T,T,0,T,0,3
Tuesday1,09/29/26,T,0,T,0,0,2
Tuesday1,10/06/26,T,T,0,T,0,3
