permit_number,proposed_from_date,proposed_to_date,client_name,geo_id,display_desc,permit_status,installation_type_desc,city_ward,district,permit_window_days
999995001,2024-11-05,2025-05-05,Toronto Water - CSS,71568.0,154 ROBINA AVE (Between GLENHURST AVE AND EARLSDALE AVE),PERMIT ISSUED,Water and Sewer Connection,9.0,Toronto and East York,181
999990001,2024-11-05,2025-05-05,Toronto Water - CSN,579373.0,98 YORKVIEW DR (NY) (Between ELGIN RD AND BEVDALE RD),PERMIT ISSUED,Water and Sewer Connection,18.0,North York,181
999986021,2024-11-21,2025-05-21,Toronto Water - CSW,1022040.0,23 NUGENT RD (Between TYLER PL AND MARBLEHEAD RD),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986020,2024-11-21,2025-05-21,Toronto Water - CSW,5524316.0,4224 BLOOR ST W (Between LEAVENWORTH CRES AND PEACOCK AVE),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986019,2024-11-21,2025-05-21,Toronto Water - CSW,8408040.0,1188 KIPLING AVE (Between BYWOOD DR AND GREENING CRES),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986018,2024-11-06,2025-05-06,Toronto Water - CSW,1020709.0,12 NEWCROSS DR (Between WEST DEANE PARK DR AND ROBINGLADE DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986017,2024-11-06,2025-05-06,Toronto Water - CSW,8101026.0,197 RATHBURN RD (Intersected By RAVENSCREST DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986016,2024-11-06,2025-05-06,Toronto Water - CSW,8105362.0,185 RATHBURN RD (Between EDENWOOD DR AND RAVENSCREST DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986015,2024-11-06,2025-05-06,Toronto Water - CSW,1004170.0,38 GRASSPOINT CRES (Between TOLEDO RD AND MARKLAND DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986014,2024-11-06,2025-05-06,Toronto Water - CSW,5538305.0,9 MAPLE GATE CRT (Intersected By CHERRY POST CRES),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986013,2024-11-05,2025-05-05,Toronto Water - CSW,1000532.0,21 FAIRLIN DR (Between MARTIN GROVE RD AND MERVYN AVE),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986012,2024-11-05,2025-05-05,Toronto Water - CSW,1014354.0,141 LAUREL AVE (ET) (Between LORENE DR AND BURNHAMTHORPE RD),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986011,2024-11-05,2025-05-05,Toronto Water - CSW,14114413.0,39 LAUREL AVE (ET) (Between LAUREL GT AND OREGON TRL),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986010,2024-11-05,2025-05-05,Toronto Water - CSW,8754079.0,22 SHAVER AVE N (Between BLOOR ST W AND LEAGATE RD),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986009,2024-11-05,2025-05-05,Toronto Water - CSW,9530606.0,97 SHAVER AVE N (Between BELGROVE DR AND NORTHAMPTON DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986008,2024-11-05,2025-05-05,Toronto Water - CSW,1021865.0,30 NORTHAMPTON DR (Between SHAVER AVE N AND MAYDOLPH RD),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986007,2024-11-05,2025-05-05,Toronto Water - CSW,1031540.0,"140 SHAVER AVE N [ Description: For:134 Shaver Ave (Shaver Ave and Swan Ave) ], (Between SWAN AVE AND LORENE DR)",PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986006,2024-11-05,2025-05-05,Toronto Water - CSW,1031555.0,166 SHAVER AVE N (Between SWAN AVE AND LORENE DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986005,2024-11-05,2025-05-05,Toronto Water - CSW,1016628.0,9 MARBLEHEAD RD (Between HAWTHORNE RD AND NORTHCREST RD),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986004,2024-11-05,2025-05-05,Toronto Water - CSW,1021899.0,17 NORTHCREST RD (Between HAYHURST RD AND ACME CRES),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986003,2024-11-05,2025-05-05,Toronto Water - CSW,1021927.0,"54 NORTHCREST RD [ Description: For:(103m east of 54 NORTHCREST RD)(opposite CB x 2, infront of the parking lot entrance) ], (Intersected By MARBLEHEAD RD)",PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986002,2024-11-05,2025-05-05,Toronto Water - CSW,1044602.0,11 WINCOTT DR (Intersected By CHETTA PL),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999986001,2024-11-05,2025-05-05,Toronto Water - CSW,3062912.0,7 PRENTICE CRT (Intersected By SUN ROW DR),PERMIT ISSUED,Chamber repair,2.0,Etobicoke and York,181
999985001,2024-11-05,2025-05-05,Toronto Water - CSE,336614.0,54 GAIETY DR (Between BURNVIEW CRES AND BURNVIEW CRES),PERMIT ISSUED,Box and Rod repair,21.0,Scarborough,181
999982001,2024-11-05,2024-11-07,Toronto Water WA3,14074055.0,"701 CLAYSON RD [ Description: MARK A 5M RADIUS AROUND THE CATCH BASIN; IT IS LOCATED ACROSS THE STREET FROM THE DRIVEWAY AT #701 CLAYSON RD ], (Between HUXLEY RD AND BARTOR RD)",PERMIT ISSUED,Catchbasin Lead,7.0,Etobicoke and York,2
