break_date,break_year,point_x,point_y,xcoord,ycoord
1991-12-20,1991,-79.3685508176,43.7097343351,315377.765,4840872.395
1990-03-16,1990,-79.4273180531,43.659170109,310646.691,4835249.094
2000-12-11,2000,-79.362178155,43.7038136008,315892.418,4840215.431
1992-03-16,1992,-79.4306498578,43.6613848438,310377.751,4835494.907
1997-11-07,1997,-79.4004288901,43.6471778482,312817.073,4833918.959
1997-09-26,1997,-79.4002230049,43.6755020578,312829.885,4837065.705
1991-01-13,1991,-79.3680643078,43.7182586623,315415.436,4841819.476
1991-12-18,1991,-79.3687418257,43.7097916643,315362.362,4840878.74
1992-06-13,1992,-79.4278086992,43.6441914112,310608.568,4833584.972
1994-02-10,1994,-79.37134995,43.711542377,315151.869,4841072.921
1992-01-22,1992,-79.3905212834,43.6772522943,313611.974,4837261.186
2002-12-03,2002,-79.5224971983,43.6391555656,302969.14,4833023.455
2007-01-25,2007,-79.4596150043,43.7641860394,308036.23,4846914.102
1992-06-29,1992,-79.3774401213,43.6812923731,314666.058,4837711.522
1995-03-19,1995,-79.3974286928,43.6510246026,313058.554,4834346.652
1993-10-05,1993,-79.3690095968,43.6481811923,315351.543,4834034.034
1999-12-31,1999,-79.3659025934,43.7031326747,315592.383,4840139.322
1991-01-02,1991,-79.3601626428,43.7183456765,316052.106,4841830.168
2001-04-12,2001,-79.3614948668,43.7124022152,315945.86,4841169.707
1997-12-28,1997,-79.3853066329,43.7067115225,314027.933,4840534.625
1999-10-26,1999,-79.258675899,43.7246301998,324227.478,4842547.011
2007-02-06,2007,-79.3395576002,43.6802360812,317720.585,4837599.299
2004-04-21,2004,-79.350440434,43.7932130349,316820.625,4850148.91
2002-01-12,2002,-79.4430186324,43.755688159,309373.122,4845970.812
1995-02-27,1995,-79.363987555,43.654516091,315755.519,4834738.461
